date,blood_type,donations,demand,inventory,holiday
2026-03-26,O+,94,97,1209,False
2026-03-27,O+,108,92,1225,False
2026-03-28,O+,86,83,1228,False
2026-03-29,O+,59,73,1214,False
2026-03-30,O+,90,118,1186,False
2026-03-31,O+,113,95,1204,False
2026-04-01,O+,102,140,1166,False
2026-04-02,O+,103,105,1164,False
2026-04-03,O+,51,74,1141,True
2026-04-04,O+,117,82,1176,False
2026-04-05,O+,70,68,1178,False
2026-04-06,O+,49,119,1108,True
2026-04-07,O+,128,120,1116,False
2026-04-08,O+,98,113,1101,False
2026-04-09,O+,138,110,1129,False
2026-04-10,O+,138,93,1174,False
2026-04-11,O+,77,87,1164,False
2026-04-12,O+,65,91,1138,False
2026-04-13,O+,110,99,1149,False
2026-04-14,O+,118,96,1171,False
2026-04-15,O+,109,109,1171,False
2026-04-16,O+,133,98,1206,False
2026-04-17,O+,133,105,1234,False
2026-04-18,O+,87,100,1221,False
2026-04-19,O+,62,73,1210,False
2026-04-20,O+,94,116,1188,False
2026-04-21,O+,91,114,1165,False
2026-04-22,O+,119,108,1176,False
2026-04-23,O+,115,85,1206,False
2026-04-24,O+,103,98,1211,False
2026-04-25,O+,85,85,1211,False
2026-04-26,O+,69,82,1198,False
2026-04-27,O+,92,155,1135,False
2026-04-28,O+,97,128,1104,False
2026-04-29,O+,122,105,1121,False
2026-04-30,O+,107,106,1122,False
2026-05-01,O+,55,102,1075,True
2026-05-02,O+,97,131,1041,False
2026-05-03,O+,73,67,1047,False
2026-05-04,O+,116,113,1050,False
2026-05-05,O+,147,110,1087,False
2026-05-06,O+,108,106,1089,False
2026-05-07,O+,140,115,1114,False
2026-05-08,O+,120,103,1131,False
2026-05-09,O+,103,81,1153,False
2026-05-10,O+,61,82,1132,False
2026-05-11,O+,84,104,1112,False
2026-05-12,O+,104,109,1107,False
2026-05-13,O+,112,118,1101,False
2026-05-14,O+,56,117,1040,True
2026-05-15,O+,142,97,1085,False
2026-05-16,O+,84,91,1078,False
2026-05-17,O+,72,77,1073,False
2026-05-18,O+,101,110,1064,False
2026-05-19,O+,95,106,1053,False
2026-05-20,O+,124,100,1077,False
2026-05-21,O+,120,100,1097,False
2026-05-22,O+,112,95,1114,False
2026-05-23,O+,102,76,1140,False
2026-05-24,O+,50,88,1102,False
2026-05-25,O+,51,110,1043,True
2026-05-26,O+,123,122,1044,False
2026-05-27,O+,107,106,1045,False
2026-05-28,O+,110,102,1053,False
2026-05-29,O+,120,110,1063,False
2026-05-30,O+,101,87,1077,False
2026-05-31,O+,67,72,1072,False
2026-06-01,O+,112,95,1089,False
2026-06-02,O+,123,115,1097,False
2026-06-03,O+,108,85,1120,False
2026-06-04,O+,133,115,1138,False
2026-06-05,O+,99,79,1158,False
2026-06-06,O+,73,72,1159,False
2026-06-07,O+,64,72,1151,False
2026-06-08,O+,86,97,1140,False
2026-06-09,O+,102,109,1133,False
2026-06-10,O+,115,100,1148,False
2026-06-11,O+,112,97,1163,False
2026-06-12,O+,124,97,1190,False
2026-06-13,O+,97,85,1202,False
2026-06-14,O+,61,65,1198,False
2026-06-15,O+,97,113,1182,False
2026-06-16,O+,99,127,1154,False
2026-06-17,O+,87,110,1131,False
2026-06-18,O+,107,113,1125,False
2026-06-19,O+,110,91,1144,False
2026-06-20,O+,120,79,1185,False
2026-06-21,O+,62,74,1173,False
2026-06-22,O+,91,92,1172,False
2026-06-23,O+,96,97,1171,False
2026-06-24,O+,102,134,1139,False
2026-06-25,O+,129,94,1174,False
2026-06-26,O+,122,98,1198,False
2026-06-27,O+,87,78,1207,False
2026-06-28,O+,47,69,1185,False
2026-06-29,O+,100,94,1191,False
2026-06-30,O+,110,106,1195,False
2026-07-01,O+,137,117,1215,False
2026-07-02,O+,116,123,1208,False
2026-07-03,O+,112,104,1216,False
2026-07-04,O+,80,84,1212,False
2026-07-05,O+,56,83,1185,False
2026-07-06,O+,83,90,1178,False
2026-07-07,O+,119,112,1185,False
2026-07-08,O+,93,112,1166,False
2026-07-09,O+,110,128,1148,False
2026-07-10,O+,112,94,1166,False
2026-07-11,O+,97,85,1178,False
2026-07-12,O+,60,86,1152,False
2026-07-13,O+,114,100,1166,False
2026-07-14,O+,109,95,1180,False
2026-07-15,O+,121,101,1200,False
2026-07-16,O+,105,123,1182,False
2026-07-17,O+,116,114,1184,False
2026-07-18,O+,116,154,1146,False
2026-07-19,O+,55,69,1132,False
2026-07-20,O+,84,115,1101,False
2026-07-21,O+,111,99,1113,False
2026-07-22,O+,97,127,1083,False
2026-07-23,O+,125,111,1097,False
2026-07-24,O+,105,184,1018,False
2026-07-25,O+,108,80,1046,False
2026-07-26,O+,80,77,1049,False
2026-07-27,O+,107,88,1068,False
2026-07-28,O+,112,117,1063,False
2026-07-29,O+,124,101,1086,False
2026-07-30,O+,112,103,1095,False
2026-07-31,O+,128,93,1130,False
2026-08-01,O+,100,83,1147,False
2026-08-02,O+,65,72,1140,False
2026-08-03,O+,99,111,1128,False
2026-08-04,O+,99,115,1112,False
2026-08-05,O+,106,114,1104,False
2026-08-06,O+,110,104,1110,False
2026-08-07,O+,141,97,1154,False
2026-08-08,O+,76,74,1156,False
2026-08-09,O+,46,68,1134,False
2026-08-10,O+,90,94,1130,False
2026-08-11,O+,100,108,1122,False
2026-08-12,O+,106,99,1129,False
2026-08-13,O+,138,105,1162,False
2026-08-14,O+,127,86,1203,False
2026-08-15,O+,84,79,1208,False
2026-08-16,O+,57,59,1206,False
2026-08-17,O+,78,101,1183,False
2026-08-18,O+,109,90,1202,False
2026-08-19,O+,92,117,1177,False
2026-08-20,O+,101,103,1175,False
2026-08-21,O+,120,94,1201,False
2026-08-22,O+,71,77,1195,False
2026-08-23,O+,69,61,1203,False
2026-08-24,O+,108,129,1182,False
2026-08-25,O+,116,113,1185,False
2026-08-26,O+,120,109,1196,False
2026-08-27,O+,112,107,1201,False
2026-08-28,O+,103,100,1204,False
2026-08-29,O+,93,82,1215,False
2026-08-30,O+,76,66,1225,False
2026-08-31,O+,84,115,1194,False
2026-09-01,O+,112,110,1196,False
2026-09-02,O+,106,104,1198,False
2026-09-03,O+,110,101,1207,False
2026-09-04,O+,93,104,1196,False
2026-09-05,O+,105,66,1235,False
2026-09-06,O+,44,91,1188,False
2026-09-07,O+,94,97,1185,False
2026-09-08,O+,105,83,1207,False
2026-09-09,O+,100,96,1211,False
2026-09-10,O+,108,123,1196,False
2026-09-11,O+,118,88,1226,False
2026-09-12,O+,99,80,1245,False
2026-09-13,O+,81,74,1252,False
2026-09-14,O+,80,113,1219,False
2026-09-15,O+,94,119,1194,False
2026-09-16,O+,110,116,1188,False
2026-09-17,O+,90,118,1160,False
2026-09-18,O+,129,98,1191,False
2026-09-19,O+,80,80,1191,False
2026-09-20,O+,63,65,1189,False
2026-09-21,O+,98,82,1205,False
2026-03-26,O-,33,23,385,False
2026-03-27,O-,33,36,382,False
2026-03-28,O-,28,31,379,False
2026-03-29,O-,22,21,380,False
2026-03-30,O-,29,29,380,False
2026-03-31,O-,33,37,376,False
2026-04-01,O-,38,30,384,False
2026-04-02,O-,34,40,378,False
2026-04-03,O-,19,28,369,True
2026-04-04,O-,31,26,374,False
2026-04-05,O-,25,19,380,False
2026-04-06,O-,12,32,360,True
2026-04-07,O-,47,37,370,False
2026-04-08,O-,36,34,372,False
2026-04-09,O-,26,36,362,False
2026-04-10,O-,37,23,376,False
2026-04-11,O-,33,27,382,False
2026-04-12,O-,16,21,377,False
2026-04-13,O-,22,32,367,False
2026-04-14,O-,29,32,364,False
2026-04-15,O-,35,36,363,False
2026-04-16,O-,26,36,353,False
2026-04-17,O-,29,31,351,False
2026-04-18,O-,26,26,351,False
2026-04-19,O-,19,20,350,False
2026-04-20,O-,30,36,344,False
2026-04-21,O-,37,35,346,False
2026-04-22,O-,41,34,353,False
2026-04-23,O-,31,36,348,False
2026-04-24,O-,35,27,356,False
2026-04-25,O-,36,25,367,False
2026-04-26,O-,17,22,362,False
2026-04-27,O-,43,33,372,False
2026-04-28,O-,33,48,357,False
2026-04-29,O-,35,43,349,False
2026-04-30,O-,35,32,352,False
2026-05-01,O-,8,35,325,True
2026-05-02,O-,35,25,335,False
2026-05-03,O-,39,23,351,False
2026-05-04,O-,31,29,353,False
2026-05-05,O-,23,31,345,False
2026-05-06,O-,40,33,352,False
2026-05-07,O-,32,28,356,False
2026-05-08,O-,49,26,379,False
2026-05-09,O-,26,24,381,False
2026-05-10,O-,17,29,369,False
2026-05-11,O-,24,32,361,False
2026-05-12,O-,39,32,368,False
2026-05-13,O-,44,43,369,False
2026-05-14,O-,22,34,357,True
2026-05-15,O-,39,31,365,False
2026-05-16,O-,27,26,366,False
2026-05-17,O-,26,25,367,False
2026-05-18,O-,36,31,372,False
2026-05-19,O-,32,33,371,False
2026-05-20,O-,32,24,379,False
2026-05-21,O-,34,27,386,False
2026-05-22,O-,33,35,384,False
2026-05-23,O-,34,22,396,False
2026-05-24,O-,15,18,393,False
2026-05-25,O-,10,28,375,True
2026-05-26,O-,27,37,365,False
2026-05-27,O-,27,40,352,False
2026-05-28,O-,38,42,348,False
2026-05-29,O-,36,32,352,False
2026-05-30,O-,35,26,361,False
2026-05-31,O-,21,26,356,False
2026-06-01,O-,30,35,351,False
2026-06-02,O-,35,34,352,False
2026-06-03,O-,41,38,355,False
2026-06-04,O-,25,33,347,False
2026-06-05,O-,27,37,337,False
2026-06-06,O-,26,36,327,False
2026-06-07,O-,21,22,326,False
2026-06-08,O-,27,35,318,False
2026-06-09,O-,40,40,318,False
2026-06-10,O-,44,34,328,False
2026-06-11,O-,40,32,336,False
2026-06-12,O-,39,27,348,False
2026-06-13,O-,37,22,363,False
2026-06-14,O-,18,30,351,False
2026-06-15,O-,36,30,357,False
2026-06-16,O-,34,41,350,False
2026-06-17,O-,50,28,372,False
2026-06-18,O-,30,34,368,False
2026-06-19,O-,37,28,377,False
2026-06-20,O-,33,22,388,False
2026-06-21,O-,21,29,380,False
2026-06-22,O-,18,28,370,False
2026-06-23,O-,27,31,366,False
2026-06-24,O-,37,43,360,False
2026-06-25,O-,29,36,353,False
2026-06-26,O-,44,32,365,False
2026-06-27,O-,29,23,371,False
2026-06-28,O-,21,24,368,False
2026-06-29,O-,27,20,375,False
2026-06-30,O-,28,26,377,False
2026-07-01,O-,29,36,370,False
2026-07-02,O-,35,37,368,False
2026-07-03,O-,40,35,373,False
2026-07-04,O-,26,36,363,False
2026-07-05,O-,21,21,363,False
2026-07-06,O-,21,48,336,False
2026-07-07,O-,29,32,333,False
2026-07-08,O-,40,45,328,False
2026-07-09,O-,31,42,317,False
2026-07-10,O-,40,36,321,False
2026-07-11,O-,39,24,336,False
2026-07-12,O-,14,22,328,False
2026-07-13,O-,27,35,320,False
2026-07-14,O-,33,47,306,False
2026-07-15,O-,31,34,303,False
2026-07-16,O-,29,36,296,False
2026-07-17,O-,34,26,304,False
2026-07-18,O-,35,24,315,False
2026-07-19,O-,16,26,305,False
2026-07-20,O-,34,34,305,False
2026-07-21,O-,48,35,318,False
2026-07-22,O-,42,35,325,False
2026-07-23,O-,33,27,331,False
2026-07-24,O-,45,34,342,False
2026-07-25,O-,35,26,351,False
2026-07-26,O-,15,13,353,False
2026-07-27,O-,28,30,351,False
2026-07-28,O-,40,24,367,False
2026-07-29,O-,38,31,374,False
